name,character,type,desc,up_desc,effects,effects_up
Soul Strike,Necrobinder,Attack,Deal 15 damage. Heal 2 HP.,Deal 22 damage. Heal 3 HP.,damage=15;heal=2,damage=22;heal=3
Bone Wall,Necrobinder,Skill,Gain 18 Block.,Gain 27 Block.,block=18,block=27
Dark Bargain,Necrobinder,Skill,Lose 5 HP. Gain 3 Strength.,Lose 5 HP. Gain 4 Strength.,self_damage=5;strength=3,self_damage=5;strength=4
Grave Dig,Necrobinder,Skill,Draw 2 cards.,Draw 3 cards.,draw=2,draw=3
Summon Horde,Necrobinder,Attack,Deal 20 damage. Gain 10 Block.,Deal 30 damage. Gain 15 Block.,damage=20;block=10,damage=30;block=15
Death Knell,Necrobinder,Attack,Deal 35 damage.,Deal 52 damage.,damage=35,damage=52
Siphon,Necrobinder,Attack,Deal 12 damage. Heal 8 HP.,Deal 18 damage. Heal 12 HP.,damage=12;heal=8,damage=18;heal=12
Corpse Explosion,Necrobinder,Attack,Deal 25 damage to ALL enemies.,Deal 37 damage to ALL enemies.,damage=25;aoe=1,damage=37;aoe=1
Ritual Dagger,Necrobinder,Attack,Deal 20 damage.,Deal 30 damage.,damage=20,damage=30
Spectral Shield,Necrobinder,Skill,Gain 20 Block.,Gain 30 Block.,block=20,block=30
Grave Pact,Necrobinder,Power,"At the start of each turn, gain 5 Block.","At the start of each turn, gain 8 Block.",power=block_each_turn:5,power=block_each_turn:8
Soul Furnace,Necrobinder,Power,"At the start of each turn, gain 2 Strength.","At the start of each turn, gain 3 Strength.",power=demon_form:2,power=demon_form:3
Wound,Neutral,Status,Unplayable.,Unplayable.,unplayable=1,unplayable=1


